feature,importance
age,0.28047744404471425
injury_prone,0.12796751458815284
tactical_fit,0.10349512381966737
potential,0.06563864181846317
league_jump,0.06357166149862642
overall,0.05030835052587116
tackles_p90,0.03743915856865735
finishing,0.0313934970228774
pace,0.03015914894948167
xa_p90,0.029068261613818484
xg_p90,0.028654241639161877
duel_strength,0.02816487713452858
ball_carrying,0.02753495127663572
pressing,0.027263374329430306
creativity,0.024384102891000802
aerial_wins_p90,0.022411750338496912
interceptions_p90,0.02206789994041559
