age,overall,potential,xg_p90,xa_p90,tackles_p90,interceptions_p90,aerial_wins_p90,pace,pressing,creativity,ball_carrying,finishing,duel_strength,injury_prone,league_jump,tactical_fit,target_team,target_league,transfer_success
20,84,90,0.054,0.18,2.317,1.137,0.99,0.406,0.652,0.539,0.507,0.578,0.643,0.02,0.9333333333333332,0.9283625,Juventus,Serie A,1
24,69,69,0.058,0.012,1.282,1.113,2.243,0.548,0.742,0.507,0.63,0.713,0.749,0.165,1.0,0.855353125,Liverpool,Premier League,0
32,89,90,0.084,0.21,1.654,1.938,3.303,0.398,0.783,0.527,0.486,0.497,0.81,0.295,1.0,0.8421920634920634,Chelsea,Premier League,0
34,90,90,0.107,0.138,1.749,1.455,0.455,0.411,0.823,0.441,0.352,0.477,0.613,0.235,1.0,0.76296875,FC Barcelona,La Liga,0
30,76,76,0.0,0.0,0.045,0.155,0.129,0.621,0.702,0.573,0.603,0.558,0.55,0.225,1.0,0.897965625,Arsenal,Premier League,1
31,75,75,0.0,0.0,0.006,0.039,0.087,0.234,0.665,0.733,0.647,0.418,0.651,0.39,1.0,0.8514937499999999,Arsenal,Premier League,1
30,74,74,0.162,0.064,1.261,0.641,1.689,0.476,0.631,0.399,0.656,0.649,0.788,0.225,1.0476190476190477,0.807440625,Arsenal,Premier League,0
25,74,78,0.093,0.076,0.964,1.196,1.224,0.761,0.711,0.45,0.635,0.568,0.583,0.07,0.9545454545454545,0.865990625,Real Madrid,La Liga,1
26,83,86,0.042,0.171,1.976,1.266,2.631,0.548,0.636,0.787,0.39,0.542,0.9,0.0,1.0,0.8676253968253969,Chelsea,Premier League,1
24,87,94,0.608,0.091,0.501,0.368,1.669,0.869,0.747,0.534,0.603,0.815,0.568,0.11,1.0,0.8704126984126984,Inter,Serie A,1
29,83,85,0.498,0.417,1.036,0.375,0.679,0.808,0.202,0.4,0.549,0.552,0.654,0.12,1.0,0.7322500000000001,Arsenal,Premier League,0
32,89,90,0.084,0.21,1.654,1.938,3.303,0.398,0.783,0.527,0.486,0.497,0.81,0.295,0.9545454545454545,0.796728125,Real Madrid,La Liga,1
24,87,94,0.608,0.091,0.501,0.368,1.669,0.869,0.747,0.534,0.603,0.815,0.568,0.11,1.0714285714285714,0.8810793650793651,Atletico Madrid,La Liga,1
